Symbol,Frequency,Abs_Log_Return_vs_GARCH_Log_Returns,"Abs Log Return, GARCH Abs Log Returns",Abs_Log_Return_vs_DD_EWMA
GC=F,D,0.30385883709090106,-0.026796293405318302,0.29340014425320143
GC=F,W,0.2934072239598036,0.2814508962341278,-0.09324305368761081
GC=F,M,0.19638767567640047,0.22771120683424,-0.12197822549439111
EURUSD=X,D,0.3082981545735611,0.3102290125022657,0.2874165236207721
EURUSD=X,W,0.24692840780780667,0.2177948373929637,0.062328540038847254
EURUSD=X,M,0.26192881294223075,0.26897632409819183,0.24755149529191495
GBPUSD=X,D,0.30433894323186633,0.2794111999501079,0.2949193783032795
GBPUSD=X,W,0.2876758565285034,0.28489338823154303,0.03175998481959987
GBPUSD=X,M,0.11194548395968537,0.16013174293907828,-0.0037622271086967638
USDJPY=X,D,0.0014911509426276755,0.24841311366495394,0.24889728602606417
USDJPY=X,W,0.20668614453695247,0.1792109054533077,0.042389372857572966
USDJPY=X,M,0.21620219333163676,0.17211401810137622,0.1138414749176287
