Date,Expected Return,1M_return,3M_return,6M_return
2018-01-31,-0.03126549695882579,0.4660266201915954,0.26976849384328355,0.07854465215506323
2018-02-28,-0.030948401280329222,0.00604528612487,-0.2276454452699283,-0.38514371915503687
2018-03-31,-0.03309135031420793,-0.2023034124731818,-0.1909169248906778,-0.44873175729187414
2018-04-30,-0.03335232368301295,-0.0313873189216165,-0.1912238416882202,0.5052217989681707
2018-05-31,-0.03327183302103324,0.0427738065041205,-0.1574982738851084,0.38776314918755506
2018-06-30,-0.0328241136447288,-0.2026103292707242,-0.2578148324011962,0.7517408925229723
2018-07-31,-0.03352116842882596,0.0023382488814953,0.696445640656391,0.6062001456761549
2018-08-31,-0.033360464164080755,-0.0575427520119673,0.5452614230726637,0.4958353430939888
2018-09-30,-0.03362640456974167,0.751650143786863,1.0095557249241687,0.4809829858937912
2018-10-31,-0.03244900111863701,-0.1488459687022321,-0.09024549498023599,-0.31370145044932723
2018-11-30,-0.031953938483119323,0.4067515498395377,-0.04942607997867468,0.2612115340816454
2018-12-31,-0.03295552905474233,-0.3481510761175416,-0.5285727390303773,-0.339553876708806
2019-01-31,-0.03733099864005937,-0.1080265537006708,-0.22345595546909106,0.07756277771039337
2019-02-28,-0.03823322391707241,-0.0723951092121649,0.31063761406032026,0.3630085965541632
2019-03-31,-0.037542841269132765,-0.0430342925562554,0.18901886232157147,0.29104122751542916
2019-04-30,-0.03806629364971487,0.4260670158287405,0.30101873317948463,0.14811495685417525
2019-05-31,-0.03986396229695312,-0.1940138609509137,0.05237098249384314,-0.3233378660358669
2019-06-30,-0.04271472854614175,0.0689655783016578,0.10202236519385793,-0.03740642521718447
2019-07-31,-0.04247050898881107,0.177419265143099,-0.15290377632530916,0.2608268729448281
2019-08-31,-0.041475275235244316,-0.1443624782508989,-0.37570884852970976,1.2123885146751294
2019-09-30,-0.043189393744001686,-0.1859605632175093,-0.13942879041104217,1.6915802150853962
2019-10-31,-0.04592201014801189,-0.0453858070613016,0.41373064927013753,1.5153816625374614
2019-11-30,-0.04568355304045563,0.0919175798677687,1.5880973632048394,1.3663311299117715
2019-12-31,-0.04565804111842077,0.3671988764636704,1.8310090054964385,1.3805567725812506
2020-01-31,-0.0477233313616047,1.1289809068734002,1.101651013267324,0.8171698855743237
2020-02-29,-0.05346562043947696,0.3348292221593678,-0.22176623329306772,-0.23208899202977362
2020-03-31,-0.05961570315586342,-0.3621591157654439,-0.4504522329151877,-0.568432754454564
2020-04-30,-0.04694025658689416,-0.1944363396869916,-0.28448112769300027,0.2355162455644047
2020-05-31,-0.05144329404986064,0.1061432225372478,-0.010322758736705684,-0.0290163929926891
2020-06-30,-0.05121207262614989,-0.1961880105432565,-0.11798052153937608,-0.029180017206252476
2020-07-31,-0.05284701154877993,0.079722029269303,0.5199973732574052,0.6215134945496583
2020-08-31,-0.05207390839942898,-0.0015145402654226,-0.018693634255983194,0.38645754669630095
2020-09-30,-0.05374588224723078,0.4417898842535248,0.08880050433312381,0.0820686554403145
2020-10-31,-0.05127619503528073,-0.4589689782440854,0.1015161212922534,-0.40044282797366215
2020-11-30,-0.05432252185941516,0.1059795983236844,0.4051511809522844,-0.040882786902888185
2020-12-31,-0.05438929490179945,0.4545055012126544,-0.006731848892809145,-0.20235166282056377
2021-01-31,-0.05391587655007279,-0.1553339185840544,-0.5019589492659154,-0.5046145955539196
2021-02-28,-0.054914134144477204,-0.3059034315214091,-0.44603396785517235,-0.4457719187991924
2021-03-31,-0.05618583687612113,-0.0407215991604519,-0.1956198139277545,0.26425772828085803
2021-04-30,-0.05617070764872488,-0.0994089371733114,-0.0026556462880040765,0.007658698995471169
2021-05-31,-0.05665286357893043,-0.0554892775939912,0.0002620490559801236,0.7792693674923381
2021-06-30,-0.05634110221433232,0.1522425684792985,0.45987754220861266,0.46807968131746475
2021-07-31,-0.05582852020586539,-0.0964912418293272,0.010314345283475357,0.757765156612816
2021-08-31,-0.05704113658262162,0.4041262155586413,0.7790073184363581,1.0685133340511133
2021-09-30,-0.0568469867430339,-0.2973206284458388,0.008202139108852147,0.34631082416662207
2021-10-31,-0.056538998043221905,0.6722017313235555,0.7474508113293408,1.268145187703066
2021-11-30,-0.05330110405958933,-0.3666789637688646,0.2895060156147552,0.3800751730731504
2021-12-31,-0.055477870738523,0.4419280437746498,0.33810868505777014,0.8429740108026138
2022-01-31,-0.05013426323482266,0.21425693560897,0.5206943763737255,0.14399269652619123
2022-02-28,-0.0475121120235656,-0.3180762943258497,0.09056915745839544,0.14258156175014153
2022-03-31,-0.046143485566134235,0.6245137350906051,0.504865325744844,0.6829230208795339
2022-04-30,-0.044518833439230444,-0.2158682833063601,-0.376701679847534,-0.12312143926230931
2022-05-31,-0.043179720601016255,0.0962198739605988,0.05201240429174639,-0.11204447778470741
2022-06-30,-0.03843406436427968,-0.2570532705017728,0.17805769513469027,-0.15530030137461973
2022-07-31,-0.035764077766814055,0.2128458008329203,0.253580240585225,-0.0030001665337440198
2022-08-31,-0.030359453679467564,0.2222651648035427,-0.16405688207645353,-0.1488355977804991
2022-09-30,-0.025615557586644272,-0.1815307250512381,-0.3333579965093097,-0.4522601946253968
2022-10-31,-0.023540442525231506,-0.2047913218287582,-0.2565804071189687,
2022-11-30,-0.024160319546058143,0.0529640503706865,0.015221284295954693,
2022-12-31,-0.02512962215363201,-0.1047531356608971,-0.11890219811608682,
2023-01-31,-0.024416879055824105,0.0670103695861652,,
2023-02-28,-0.02375557304312388,-0.081159432041355,,
2023-03-31,-0.02435322874863169,,,
