Lag,P-Value,Reject Null
1,0.46383469356466966,False
2,7.772128309171795e-15,True
3,5.840664474085682e-14,True
4,7.424501190820091e-14,True
5,6.093594070215473e-13,True
6,1.969550294801628e-13,True
7,5.0428993237243964e-14,True
8,1.483233635237964e-13,True
9,1.1904164266489099e-12,True
10,2.567327052396253e-13,True
11,3.0514489524519737e-13,True
12,4.909007588267801e-13,True
13,1.835068848441352e-12,True
14,6.782121163780684e-12,True
15,9.97901068969242e-12,True
16,1.046167619477032e-11,True
17,2.6779517186792167e-11,True
18,1.5251016759680824e-11,True
19,1.7242859851026875e-11,True
20,7.677179463153532e-12,True
21,1.8068478883195024e-11,True
22,4.558919024689589e-11,True
23,6.912933048848661e-11,True
24,8.633145126296748e-11,True
25,6.680626375610429e-11,True
26,1.5467059479022243e-10,True
27,3.1135200855780763e-10,True
28,4.3251738717498597e-10,True
29,6.217873843083266e-10,True
30,1.1505676467656425e-09,True
